Data;11 - Taxa de juros - Selic - % a.d.;Selic Anualizada
02/01/2017;0,050788; 0,1375 
03/01/2017;0,050788; 0,1375 
04/01/2017;0,050788; 0,1375 
05/01/2017;0,050788; 0,1375 
06/01/2017;0,050788; 0,1375 
09/01/2017;0,050788; 0,1375 
10/01/2017;0,050788; 0,1375 
11/01/2017;0,050788; 0,1375 
12/01/2017;0,048159; 0,1300 
13/01/2017;0,048159; 0,1300 
16/01/2017;0,048159; 0,1300 
17/01/2017;0,048159; 0,1300 
18/01/2017;0,048159; 0,1300 
19/01/2017;0,048159; 0,1300 
20/01/2017;0,048159; 0,1300 
23/01/2017;0,048159; 0,1300 
24/01/2017;0,048159; 0,1300 
25/01/2017;0,048159; 0,1300 
26/01/2017;0,048159; 0,1300 
27/01/2017;0,048159; 0,1300 
30/01/2017;0,048159; 0,1300 
31/01/2017;0,048159; 0,1300 
01/02/2017;0,048159; 0,1300 
02/02/2017;0,048159; 0,1300 
03/02/2017;0,048159; 0,1300 
06/02/2017;0,048159; 0,1300 
07/02/2017;0,048159; 0,1300 
08/02/2017;0,048159; 0,1300 
09/02/2017;0,048159; 0,1300 
10/02/2017;0,048159; 0,1300 
13/02/2017;0,048159; 0,1300 
14/02/2017;0,048159; 0,1300 
15/02/2017;0,048159; 0,1300 
16/02/2017;0,048159; 0,1300 
17/02/2017;0,048159; 0,1300 
20/02/2017;0,048159; 0,1300 
21/02/2017;0,048159; 0,1300 
22/02/2017;0,048159; 0,1300 
23/02/2017;0,045513; 0,1225 
24/02/2017;0,045513; 0,1225 
01/03/2017;0,045513; 0,1225 
02/03/2017;0,045513; 0,1225 
03/03/2017;0,045513; 0,1225 
06/03/2017;0,045513; 0,1225 
07/03/2017;0,045513; 0,1225 
08/03/2017;0,045513; 0,1225 
09/03/2017;0,045513; 0,1225 
10/03/2017;0,045513; 0,1225 
13/03/2017;0,045513; 0,1225 
14/03/2017;0,045513; 0,1225 
15/03/2017;0,045513; 0,1225 
16/03/2017;0,045513; 0,1225 
17/03/2017;0,045513; 0,1225 
20/03/2017;0,045513; 0,1225 
21/03/2017;0,045513; 0,1225 
22/03/2017;0,045513; 0,1225 
23/03/2017;0,045513; 0,1225 
24/03/2017;0,045513; 0,1225 
27/03/2017;0,045513; 0,1225 
28/03/2017;0,045513; 0,1225 
29/03/2017;0,045513; 0,1225 
30/03/2017;0,045513; 0,1225 
31/03/2017;0,045513; 0,1225 
03/04/2017;0,045513; 0,1225 
04/04/2017;0,045513; 0,1225 
05/04/2017;0,045513; 0,1225 
06/04/2017;0,045513; 0,1225 
07/04/2017;0,045513; 0,1225 
10/04/2017;0,045513; 0,1225 
11/04/2017;0,045513; 0,1225 
12/04/2017;0,045513; 0,1225 
13/04/2017;0,041957; 0,1125 
17/04/2017;0,041957; 0,1125 
18/04/2017;0,041957; 0,1125 
19/04/2017;0,041957; 0,1125 
20/04/2017;0,041957; 0,1125 
24/04/2017;0,041957; 0,1125 
